song,artist,album_type,is_explicit,total_days_on_chart,total_reentries,avg_gap_before_reentry,avg_popularity,avg_duration_min,reentry_frequency,fandom_intensity_score
T.B.H,QWER,single,False,155,8,6.1,61.30967741935484,2.93,1.55,70.76
TALKING,Kanye West & Ty Dolla $ign,album,True,1,0,0.0,78.0,3.09,0.0,27.6
THANK GOD,Travis Scott,album,True,2,0,0.0,42.0,3.08,0.0,15.3
TIME MOVING SLOW,¥$ & Kanye West & Ty Dolla $ign,album,True,1,0,0.0,0.0,2.66,0.0,0.3
TOO MUCH,The Kid LAROI,album,True,1,0,0.0,35.0,3.4,0.0,12.55
TOO MUCH,The Kid LAROI & Jung Kook & Central Cee,single,True,21,0,0.0,86.80952380952381,3.3999999999999995,0.0,36.68
TOPLINE (Feat. Tiger JK),Stray Kids,album,False,1,0,0.0,71.0,3.39,0.0,25.15
Take Two,BTS,single,False,155,1,6.0,89.3225806451613,3.83,0.19,78.11
Talk Saxy,RIIZE,single,False,22,6,12.5,63.77272727272727,3.18,8.18,31.02
Taste,Sabrina Carpenter,album,False,25,3,3.7,93.0,2.62,3.6,41.1
Teddy Bear,STAYC,single,False,13,4,2.5,73.92307692307692,3.1599999999999997,9.23,31.17
That's What I Like,Bruno Mars,album,False,5,1,508.0,87.0,3.44,6.0,32.3
The Astronaut,JIN,single,False,1,0,0.0,79.0,4.71,0.0,27.95
The Astronaut,Jin,single,False,6,0,0.0,82.5,4.71,0.0,30.67
The Breakup Anthem,Ebstar,album,False,1,0,0.0,1.0,3.11,0.0,0.65
The First Snow,EXO,single,False,15,0,0.0,71.33333333333333,3.46,0.0,29.47
The Planet,BTS,single,False,41,3,7.3,87.51219512195122,2.97,2.2,43.98
The Tortured Poets Department,Taylor Swift,album,True,3,0,0.0,83.0,4.88,0.0,29.95
The Unknown Sea,TAEMIN,single,False,1,0,0.0,51.0,3.28,0.0,18.15
Thirsty,aespa,single,False,47,1,2.0,76.85106382978724,3.22,0.64,41.35
Tick-Tack,ILLIT,single,False,2,1,3.0,73.5,2.16,15.0,26.68
Time of Our Life -Japanese ver.- - Japanese ver.,DAY6,single,False,102,9,17.1,55.38235294117647,3.43,2.65,53.13
Timeless (with Playboi Carti),The Weeknd & Playboi Carti,single,True,12,0,0.0,86.91666666666667,4.27,0.0,34.02
To. X,TAEYEON,single,False,156,3,3.0,74.77564102564102,2.84,0.58,74.02
Too Sad to Dance,Jung Kook,album,False,44,9,11.8,81.9090909090909,2.93,6.14,45.02
Touch,KATSEYE,single,False,78,2,3.0,83.56410256410257,2.16,0.77,53.35
Travel Again (Feat. Cautious Clay),Beenzino,album,True,10,0,0.0,51.7,4.28,0.0,21.1
Trippy (Feat. Lance Skiiiwalker),Beenzino,album,True,2,0,0.0,41.0,4.62,0.0,14.95
Trust in me,Lim Young Woong,single,False,25,1,2.0,57.8,4.05,1.2,28.08
Type Shit,Future & Metro Boomin,album,True,1,0,0.0,0.0,3.8,0.0,0.3
UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM,album,False,103,0,0.0,87.77669902912622,3.04,0.0,61.62
UNLOVE (prod. HONNE),Zion.T,album,False,1,0,0.0,48.0,3.0,0.0,17.1
UP - KARINA Solo,aespa,single,False,48,0,0.0,79.75,2.78,0.0,42.31
Underneath the Tree,Kelly Clarkson,album,False,4,0,0.0,86.0,3.83,0.0,31.3
V (Peace) (feat. AKMU),Zion.T,album,False,4,0,0.0,55.5,2.48,0.0,20.62
VIBE (feat. Jimin of BTS),TAEYANG,album,False,69,7,16.6,70.31884057971014,2.93,3.04,47.76
Vancouver,BIG Naughty,single,False,9,2,51.5,58.55555555555556,3.5999999999999996,6.67,23.89
Vancouver 2,BIG Naughty,single,False,17,0,0.0,49.64705882352941,3.37,0.0,22.48
WAY 4 LUV,PLAVE,single,False,12,1,55.0,59.166666666666664,3.66,2.5,24.66
Walk,NCT 127,album,False,10,0,0.0,62.1,3.2,0.0,24.74
Warmth,Lim Young Woong,single,False,195,4,2.5,62.723076923076924,3.92,0.62,81.85
Water,Tyla,single,False,2,0,0.0,93.0,3.34,0.0,33.15
We got so much,LE SSERAFIM,single,False,4,0,0.0,68.75,2.76,0.0,25.26
Welcome To MY World (feat. nævis),aespa,single,False,8,0,0.0,77.0,3.45,0.0,29.35
Welcome to the Show,DAY6,album,False,95,6,26.8,59.8421052631579,3.6200000000000006,1.89,51.54
Welcome to the Show,DAY6,single,False,2,0,0.0,52.0,3.62,0.0,18.8
Well…?,YANGHONGWON,album,False,3,0,0.0,40.0,2.35,0.0,14.9
What The Hell,E SENS,album,False,1,0,0.0,37.0,2.53,0.0,13.25
Whiplash,aespa,single,False,36,0,0.0,76.30555555555556,3.05,0.0,37.51
Who,Jimin,album,False,129,1,2.0,92.7984496124031,2.85,0.23,71.53
Who (Acoustic Remix),Jimin,album,False,97,5,6.8,63.876288659793815,3.07,1.55,53.21
Who (Beautiful Mind Remix),Jimin,album,False,78,12,5.0,63.14102564102564,2.97,4.62,49.7
Who (Funky Remix),Jimin,album,False,82,12,4.7,63.19512195121951,3.14,4.39,50.92
Who (Instrumental),Jimin,album,False,90,9,5.0,62.68888888888889,2.85,3.0,52.09
Who (Rock Remix),Jimin,album,False,101,5,6.0,64.32673267326733,2.87,1.49,54.56
Who (Shibuyakei Remix),Jimin,album,False,89,8,5.6,63.51685393258427,2.78,2.7,51.73
Why?,PLAVE,single,False,5,1,5.0,54.2,2.46,6.0,20.82
Wife,(G)I-DLE,album,False,31,0,0.0,71.93548387096774,2.02,0.0,34.48
Wife,(G)I-DLE,single,False,7,0,0.0,73.71428571428571,2.02,0.0,27.9
Winter Bear,V,single,False,12,0,0.0,68.66666666666667,2.91,0.0,27.63
With you,Jimin & HA SUNG WOON,single,False,22,4,57.8,76.04545454545455,3.37,5.45,34.62
XO (Only If You Say Yes),ENHYPEN,album,False,5,0,0.0,72.2,3.14,0.0,26.77
Yes or No,Jung Kook,album,False,181,3,3.0,85.65745856353591,2.46,0.5,85.33
"Yes or No (Feat. HUH YUNJIN of LE SSERAFIM, Crush)",GroovyRoom,single,False,13,0,0.0,64.76923076923077,2.99,0.0,26.57
"Yes or No (Feat. 허윤진 of LE SSERAFIM, Crush)",GroovyRoom & HUH YUNJIN,single,False,54,2,2.0,73.31481481481481,2.99,1.11,42.56
You & Me,JENNIE,single,False,63,6,6.8,80.92063492063492,2.99,2.86,49.32
You & Me (Coachella ver.),JENNIE,single,False,3,1,3.0,50.0,3.0,10.0,18.75
